Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:barcode-label-printing-dubai:production","website/assets/images/products/barcode-label-printing-dubai/","barcode-label-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:label-printing)","Roll label printing and slitting","/barcode-label-printing-dubai/","Photorealistic commercial photograph of barcode labels production: Roll label printing and slitting — labels on a roll passing through a press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:die-cut-sticker-printing-dubai:hero","website/assets/images/products/die-cut-sticker-printing-dubai/","die-cut-sticker-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Colourful die-cut vinyl stickers in custom logo shapes scattered on a white desk","/die-cut-sticker-printing-dubai/","Realistic commercial product photograph of colourful die-cut vinyl stickers in custom logo and mascot shapes with thin white borders, scattered on a white desk beside a laptop, bright soft daylight, slightly elevated angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:die-cut-sticker-printing-dubai:detail","website/assets/images/products/die-cut-sticker-printing-dubai/","die-cut-sticker-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Hand peeling a glossy kiss-cut sticker from its printed backing sheet","/die-cut-sticker-printing-dubai/","Close-up product photograph of a hand peeling a glossy kiss-cut sticker away from a printed sticker sheet, showing the clean cut edge and laminate sheen, neutral grey background, soft studio lighting, macro lens, fictional brand name, no real logos, no Flash Print Solution branding."
"p:die-cut-sticker-printing-dubai:application","website/assets/images/products/die-cut-sticker-printing-dubai/","die-cut-sticker-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Laptop lid and water bottle decorated with custom die-cut stickers in a café","/die-cut-sticker-printing-dubai/","Lifestyle photograph of a silver laptop lid and a reusable water bottle decorated with custom die-cut vinyl stickers on a table in a bright Dubai café, natural window light, candid three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:die-cut-sticker-printing-dubai:production","website/assets/images/products/die-cut-sticker-printing-dubai/","die-cut-sticker-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-plotter)","Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding","/die-cut-sticker-printing-dubai/","Photorealistic commercial photograph of die-cut stickers production: Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:magnetic-stickers-dubai:hero","website/assets/images/products/magnetic-stickers-dubai/","magnetic-stickers-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Pair of printed magnetic door signs for a service van laid on a workshop table","/magnetic-stickers-dubai/","Realistic commercial product photograph of a pair of printed magnetic car door signs with rounded corners and a fictional cleaning company design, laid flat on a clean workshop table, soft overhead lighting, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:magnetic-stickers-dubai:detail","website/assets/images/products/magnetic-stickers-dubai/","magnetic-stickers-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Edge of a laminated magnetic sheet showing the printed vinyl face and dark magnet layer","/magnetic-stickers-dubai/","Macro product photograph of the edge of a laminated flexible magnetic sheet, showing the glossy printed vinyl face bonded to the dark brown magnetic layer, slight curl, neutral background, crisp studio lighting, fictional brand name, no real logos, no Flash Print Solution branding."
"p:magnetic-stickers-dubai:application","website/assets/images/products/magnetic-stickers-dubai/","magnetic-stickers-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Colourful restaurant delivery magnet on a white kitchen fridge door beside family photos","/magnetic-stickers-dubai/","Lifestyle photograph of a colourful printed fridge magnet for a fictional restaurant delivery service on a white fridge door in a modern Dubai apartment kitchen, alongside notes and photos, warm natural light, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:magnetic-stickers-dubai:production","website/assets/images/products/magnetic-stickers-dubai/","magnetic-stickers-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:finishing-cutting)","Trimming and cutting printed stacks on a guillotine in a print finishing area","/magnetic-stickers-dubai/","Photorealistic commercial photograph of magnetic stickers production: Trimming and cutting printed stacks on a guillotine in a print finishing area. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:product-label-printing-dubai:hero","website/assets/images/products/product-label-printing-dubai/","product-label-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Amber glass jars and bottles with matching printed product labels on a marble counter","/product-label-printing-dubai/","Realistic commercial product photograph of amber glass jars and bottles with matching cream textured labels and gold foil details for a fictional honey and oils brand on a white marble counter, soft window light, straight-on angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:product-label-printing-dubai:detail","website/assets/images/products/product-label-printing-dubai/","product-label-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of gold foil lettering on a textured paper label applied to glass","/product-label-printing-dubai/","Macro product photograph of gold hot-foil lettering and a blind-embossed border on a textured cotton paper label applied to a glass bottle, raking light showing texture and foil shine, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:product-label-printing-dubai:application","website/assets/images/products/product-label-printing-dubai/","product-label-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Worker applying roll labels to cosmetic bottles at a small packing table","/product-label-printing-dubai/","Documentary-style photograph of a worker applying printed roll labels to white cosmetic bottles at a tidy packing table in a small Dubai production studio, label roll on a dispenser, natural daylight, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:product-label-printing-dubai:production","website/assets/images/products/product-label-printing-dubai/","product-label-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:label-printing)","Roll label printing and slitting","/product-label-printing-dubai/","Photorealistic commercial photograph of product labels production: Roll label printing and slitting — labels on a roll passing through a press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
